account_cluster_id,mse_score
1.0,41.401518891579535
3.0,20.161017203506642
4.0,51.09857009073211
5.0,38.27957896970641
7.0,48.039933441063745
8.0,65.18498110266913
10.0,40.78756115107913
11.0,25.96336707086642
12.0,75.75483035714285
13.0,33.65070799735606
14.0,21.6279625
21.0,41.07802799858676
22.0,60.06668725858585
23.0,27.399016813548926
24.0,24.410109375
27.0,31.48469423076924
28.0,49.08754177063615
29.0,39.41619841672903
30.0,72.36954339622642
31.0,38.127389889622926
33.0,37.41615740912117
34.0,29.26471563525441
35.0,25.47050869565217
